BANK,Stage 1,Stage 2,Stage 3,Total
,12-month ECL,Lifetime ECL,Lifetime ECL,
,KShs‘000,KShs‘000,KShs‘000,KShs‘000
Gross carrying amount as at 1 January 2022,"263,393,676","30,468,317","43,311,819","337,173,812"
New financial assets originated or purchased,"117,390,200","24,283,348","16,712,701","158,386,249"
"Financial assets that have been derecognised
(excluding write-off)","(87,648,929)","(15,253,387)","(14,807,262)","(117,709,578)"
Transfer to Stage 1,"2,563,877","(2,359,112)","(204,765)",–
Transfer to Stage 2,"(685,156)","1,099,719","(414,563)",–
Transfer to Stage 3,"(4,088,226)","(2,780,422)","6,868,648",–
Write-offs,–,–,"(2,895,993)","(2,895,993)"
Other changes,"(1,367,783)","(69,129)","(1,090,739)","(2,527,651)"
Gross carrying amount as at 31 December 2022,"289,557,659","35,389,334","47,479,846","372,426,839"
Impairment allowance as at 1 January 2022,"4,861,632",",909,914","22,919,352","29,690,898"
New financial assets originated or purchased,"3,482,500","4,304,263","6,636,785","14,423,548"
"Financial assets that have been derecognised
(excluding write-off)","(1,324,742)","(1,288,292)","(3,619,885)","(6,232,919)"
Transfer to Stage 1,"39,979","(37,696)","(2,283)",–
Transfer to Stage 2,"(249,567)","355,219","(105,652)",–
Transfer to Stage 3,"(2,134,423)","(1,063,579)","3,198,002",–
Write offs,–,–,"(2,895,993)","(2,895,993)"
Other changes,"(44,818)","(52,083)","(2,033)","(98,934)"
Impairment allowance as at 31 December 2022,"4,630,561","4,127,746","26,128,292","34,886,600"
Net carrying Amount as at 31 December 2022,"284,927,098","31,261,588","21,351,553","337,540,239"
