USD,GBP,EURO,JPY,CHF,ZAR,OTHERS,TOTAL
113.1412,152.0538,127.9932,0.983024,123.8207,7.1133,-,
KShs`000,KShs`000,KShs`000,KShs`000,KShs`000,KShs`000,KShs`000,KShs`000
"28,980,985","917,851","1,852,472","63,180","50,922","43,522","515,694","32,424,626"
"25,070,235","124,539","21,397",-,-,-,-,"25,216,171"
"2,394,667","35,582","76,651",-,-,-,"2,216","2,509,116"
"56,445,887","1,077,972","1,950,520","63,180","50,922","43,522","517,910","60,149,913"
"27,408,468","828,275","3,239,140",-,-,-,"281,514","31,757,397"
"83,854,355","1,906,247","5,189,660","63,180","50,922","43,522","799,424","91,907,310"
"23,442,028","1,051,407","2,332,367","71,386","6,810",997,"1,984","26,906,979"
"19,635,693",-,-,-,-,-,-,"19,635,693"
"4,266,560","12,385","(272,253)",-,-,-,"1,278","4,007,970"
"47,344,281","1,063,792","2,060,114","71,386","6,810",997,"3,262","50,550,642"
"37,238,881","836,742","3,040,498",-,-,"45,169","787,011","41,948,301"
"84,583,162","1,900,534","5,100,612","71,386","6,810","46,166","790,273","92,498,943"
"(728,807)","5,713","89,048","(8,206)","44,112","(2,644)","9,151","(591,633)"
