Column,FY 2025,FY 2024,Growth,Growth %
Co-operative Bank of Kenya Ltd,"36,051,257,135","31,303,207,094","4,748,050,041",15.17%
Co-operative Bank of South Sudan Ltd,"236,319,385","11,065,126","225,254,259",2035.71%
Co-opTrust Investment Services Ltd,"936,178,811","386,444,651","549,734,160",142.25%
Co-op Bancassurance Intermediary Ltd,"1,486,422,255","1,201,659,841","284,762,414",23.70%
Kingdom Securities Ltd,"129,692,012","74,208,668","55,483,344",74.77%
Kingdom Bank Ltd,"1,125,317,665","1,068,426,883","56,890,783",5.32%
Co-op Bank and Subsidiaries Total,"39,965,187,263","34,045,012,262","5,920,175,001",17.39%
Associates share of profit,"322,247,161","735,307,031","(413,059,869)",-56.18%
Group Profit Before Tax,"40,287,434,425","34,780,319,293","5,507,115,132",15.83%
Income Tax Expense,"10,532,905,678","9,323,974,105","1,208,931,573",12.97%
"Group Profit After Tax
oup Financial","29,754,528,747","25,456,345,188","4,298,183,559",16.88%
