Performance Indicator,2018,2017
Total permanent staff,3638,3405
Total contract staff (Includes Sales Staff),613,664
Totals,4251,4069
% of Foreign staff in Kenya,0.0%,0.0%
% of Foreign staff in South Sudan – (Staff on Secondment to COBSS),0.5%,18.7%
Staff attrition (%) – Voluntary,3.8%,4.9%
Staff attrition (%) – involuntary,3.2%,3.8%
Sick off days,"14,293","15,472"
% Female staff members,44.2%,43.9%
% male staff members,55.8%,56.1%
% of our staff who are younger than 40 years,87.1%,90.2%
% of our staff who have a tenure of more than 10 years,17.3%,17.0%
% of our staff who have a tenure of more than 5 years,54.9%,53.3%
% of our staff who have disabilities,0.3%,0.5%
% Permanent staff,85.6%,83.7%
% Contract staff,14.4%,16.3%
No. of paternity applicants (actual taken),282,347
No. of Maternity applicants (actual taken),203,246
Average Increase in staff salaries,4.9%,4.8%
