Annual Growth Rates (%),Column,Column
,Q2 2019,Q2 2020
Agriculture,2.9,6.4
Industry,5.4,-0.5
Mining and Quarrying,5.0,10.0
Manufacturing,4.0,-3.9
Electricity and Water Supply,7.3,-0.6
Construction,7.2,3.9
Services,6.8,-11.7
"Wholesale and Retail Trade, Repairs",7.8,-6.9
Accommodation and Restaurants,12.1,-83.3
Transport & storage,7.6,-11.6
Information & Comm,7.8,4.3
Financial and Insurance,5.2,4.2
Public Administration,8.7,5.7
"Professional, Admin & support services",4.2,-15.7
Real Estate,6.0,2.2
Education,5.9,-56.1
Health,6.2,10.3
Other Services,5.6,-8.5
Financial Services Indirectly Measured,7.3,4.0
Taxes,4.0,-14.2
GDP at constant market prices,5.3,-5.7
