Column,2022,Column,Column,Column,2023
SECTOR,Q1,Q2,Q3,Q4,Q1
1.0 Agriculture,-1.7,-2.4,-1.3,-0.9,5.8
2. Non-Agriculture (o/w),8.2,7.1,5.3,4.6,5.2
2.1 Industry,5.6,5,2.6,2.4,2.5
Mining & Quarrying,23.8,16.6,-4.5,1.6,3.3
Manufacturing,3.8,3.6,1.8,1.8,2
Electricity & Water Supply,3.2,5.6,6,4.9,2.3
Construction,6,4.5,3.5,2.4,3.1
2.2 Services,8.9,8,5.9,5.2,6.3
Wholesale & Retail Trade,4.9,4.1,3.6,2.7,5.7
Accommodation & Restaurants,40.1,44,16.9,14.9,21.5
Transport & Storage,7.7,7.2,5.1,2.7,6.2
Information & Communication,9,11.2,11.8,8,8.7
Financial & Insurance,17,16.1,9.6,9.4,5.8
Public Administration,6.2,3.8,3.4,4.7,6.6
Professional Services,13.1,10.9,9,5.3,7.3
Real Estate,6,5,4,2.9,5.2
Education,4.6,4.4,3.9,6.1,3.6
Health,5.7,4.4,3.7,4.3,5.4
Other Services,8.9,4.3,5.7,4,3
Real GDP Growth,6.2,5.2,4.3,3.7,5.3
