2012,Column,Column
NAME,NO. OF SHARES,%
1 Co-opholdings Co-operative Society Limited,"2,705,511,000",64.56
2 Gideon Maina Muriuki,"77,415,000",1.85
3 NIC Custodial Services A/C 077,"34,502,460",0.82
4 Kenya Commercial Bank Nominees Limited A/C 771A,"27,039,800",0.65
5 Standard Chartered Nominees Non-Resident A/C 9057,"23,825,400",0.57
6 Standard Chartered Nominees A/C 9230,"20,052,160",0.48
7 CFC Stanbic Nominees Kenya Ltd A/C NR1030682,"16,441,224",0.39
8 CfC Stanbic Nominees Kenya Ltd A/C R57601,"15,155,880",0.36
9 Co-operative Bank Savings & Credit Society Limited,"13,946,000",0.33
10 Standard Chartered Nominees A/C 9389,"12,866,120",0.31
TOTAL,"2,946,755,044",70.32
