Column,"Monthly
Retainer","Sitting
Allowance","Travelling
Facilitation",Honorarium,"Responsibility
Allowance","Housing
Allowance","CEO Annual
remuneration","Total
2018","Total
2017"
"John K. Murugu, OGW -
Chairman",4.71,1.29,0.1,4.67,6.17,2.98,-,19.92,10.06
"Macloud M. Malonza,
HSC",4.93,1.86,0.11,4.24,2.5,1.28,-,14.92,8.71
Patrick K. Githendu,1.85,1.33,0.64,3.79,2.22,1.02,-,10.85,7.11
Julius Sitienei,1.63,0.95,1.05,3.79,-,-,-,7.42,7.41
Wanyambura Mwambia,1.63,1,0.33,3.79,-,-,-,6.75,6.78
Rose K. Simani (Mrs),1.63,1.13,0.35,3.79,-,-,-,6.9,6.89
Lawrence C. Karissa,1.63,1.11,1.72,3.79,-,-,-,8.25,8.18
Benedict Simiyu,1.63,0.78,1.18,3.79,-,-,-,7.38,7.53
Richard L. Kimanthi,1.63,0.78,1.12,3.79,-,-,-,7.32,7.36
"Wilfred Ongoro, HSC",1.63,0.85,0.86,3.79,-,-,-,7.13,6.77
Godfrey Mburia,1.63,0.89,1.03,3.79,-,-,-,7.34,6.99
"Mary N. Mungai (Mrs),
OGW",2.27,0.85,0.22,3.79,-,-,-,7.13,6.55
"Scholastica Odhiambo
(Mrs)",2.27,0.85,0.22,3.79,-,-,-,7.13,6.66
James N. Njiru,2.27,0.85,0.52,3.79,-,-,-,7.43,7.00
David M. Muthigani,2.27,0.89,0.54,3.79,-,-,-,7.49,6.97
Francis Ngone,1.56,0.89,0.47,3.79,-,-,-,6.71,-
Geoffrey M’Nairobi,1.56,0.85,0.52,3.79,-,-,-,6.72,-
Dr. James Kahunyo,1.58,0.62,0.18,20.92,-,-,-,23.3,6.66
"Mr. Stanley C. Muchiri,
EBS",-,-,-,-,-,-,-,-,21.91
Mr. Julius Riungu,-,-,-,-,-,-,-,-,6.88
"Dr. G. Muriuki, CBS, MBS
- GMD & CEO",-,-,-,-,5.7,-,99.76,105.46,99.8
,38.31,17.77,11.16,86.68,16.59,5.28,99.76,275.53,246.22
