Column,2011,2012,2013,2014,2015
Statement of Financial Position,,,,,
Cash and short term funds,"21,616","31,100","30,754","37,146","43,433"
Loans & Advances to Customers (gross),"114,101","123,824","141,608","183,942","215,745"
Impairment losses on loans & advances,"(4,692)","(4,736)","(4,521)","(4,456)","(7,173)"
Government & other Securities,"22,237","33,391","41,055","47,722","67,194"
"Property, Equipment and Intangible Assets","9,336","11,133","13,102","11,830","9,663"
Other assets,"5,714","5,876","9,217","9,212","13,638"
Total Assets,"168,312","200,588","231,215","285,396","342,500"
Customer Deposits,"144,514","163,149","180,887","220,858","268,820"
Loans & Borrowings,234,"4,572","10,252","18,269","19,271"
Other liabilities,"2,613","3,500","3,492","3,392","5,106"
Total liabilities,"147,360","171,221","194,631","242,519","293,197"
Net assets/Shareholders Equity,"20,951","29,367","36,584","42,877","49,303"
Income Statement,,,,,
Net Interest Income,"11,885","13,581","15,869","19,135","19,783"
Non-Interest Income,"6,451","10,200","12,021","12,951","16,607"
Operating Expenses,"11,417","13,171","16,605","20,265","19,372"
Provision for loans impairment,710,999,778,"1,176","2,019"
Share of profit of associate,158,374,365,271,385
Profit before Tax,"6,366","9,984","10,872","10,916","15,383"
Profit after tax,"5,366","7,724","9,108","8,015","11,706"
Earnings per share,1.54,1.84,2.2,1.69,2.31
Dividend per share,0 .4,0.5,0.5,0.50,0.80
KEY RATIOS (%),,,,,
PROFITABILITY,,,,,
Return on Average Equity-ROAE (%),26%,31%,30%,20%,25%
Return on Average Total Assets (%),3%,4%,5%,3%,4%
EFFICIENCY,,,,,
Cost to income ( Without Provisions) (%),62%,56%,60%,59%,53%
Cost to income ( With Provisions) (%),66%,60%,62%,63%,59%
Interest expenses on Interest income (%),27%,39%,27%,30%,41%
CAPITAL ADEQUACY,,,,,
Shareholders equity/Total assets (%),12%,15%,16%,15%,14%
Capital funds/Total assets (%),5%,4%,3%,3%,2%
ASSET QUALITY,,,,,
Impairment provisions/ Gross loans & advances (%),1%,1%,1%,1%,1%
Non-performing loans (NPLs) to Gross loans (%),4%,4%,4%,4%,3%
Loan loss provisions to Non-performing loans (NPLs) (%),90%,76%,74%,92%,85%
Loan loss provisions to Shareholders equity (%),22%,16%,12%,10%,12%
LIQUIDITY,,,,,
Gross Loans to Deposit Ratio in %,79%,76%,78%,83%,80%
Borrowed funds/Total deposits (%),0.20%,2.80%,5.70%,8.30%,7.20%
Borrowed funds/Gross Loans (%),0.20%,3.70%,7.00%,9.90%,8.70%
