Column,Column,Column,Dec-21,Dec-20,Dec-19,Dec-18,Dec-17
,Capital Adequacy Ratios,,,,,,
,Core capital (Tier 1) to Total Deposits,,19.6%,19.1%,20.2%,19.3%,20.0%
,Core capital(Tier 1) to Total risk weighted assets,,15.6%,15.4%,16.3%,16.0%,15.8%
,Total capital / Total risk weighted assets,,17.0%,16.9%,16.8%,16.4%,22.0%
,SHEQ Capital / Average Assets,,17.9%,18.3%,18.2%,17.5%,18.8%
,Debt to Equity Ratio (Total Debt / SHEQ),,42.8%,50.7%,33.3%,34.3%,30.4%
,Asset Quality Ratios,,,,,,
,Cost of Risk,,2.7%,2.9%,1.0%,0.7%,1.5%
,Non-Performing Loans in Total Loans (Group),,14.0%,18.1%,9.9%,10.3%,7.0%
,Non-Performing Loans in Total Loans (Bank),,12.7%,16.5%,9.9%,10.2%,7.0%
,Earnings and Efficiency Profitability Ratios,,,,,,
,Return on Average Asset (ROAA),,3.0%,2.2%,3.3%,3.2%,3.1%
,Return on Equity (ROAE),,17.3%,12.7%,19.2%,18.3%,17.4%
,Net Interest Margin,,8.9%,8.9%,8.8%,9.4%,8.9%
,Non - Funded to Total Operating Income,,32.1%,32.5%,35.4%,29.5%,32.4%
,Cost Income Ratio (With provision),,63.0%,73.2%,57.4%,58.8%,60.9%
,Cost Income Ratio (Without Provision),,49.9%,58.1%,52.1%,54.6%,52.2%
,Liquidity Ratios,,,,,,
,Liquidity ratio,,53.8%,52.2%,46.2%,41.1%,33.8%
,Total Loans to Total Deposits,,75.9%,75.7%,80.1%,80.1%,88.2%
,Loans /(Deposits+Borrowed Funds),,68.7%,67.5%,74.2%,74.3%,82.0%
"Loans
CBK",Loans,,,,,,
,CBK,Audited Disclosure,,,,,
