Column,2014,Column,Column
,NAME,NO. OF SHARES,%
1,HARAMBEE COOPERATIVE SAVINGS & CREDIT SOCIETY LTD,"120,714,860",3.82
2,H & M COOPERATIVE SAVINGS & CREDIT SOCIETY LTD,"104,372,893",3.31
3,KENYA POLICE SACCO SOCIETY LTD,"92,904,355",2.94
4,AFYA COOPERATIVE SAVINGS & CREDIT SOCIETY LTD,"92,829,660",2.94
5,MASAKU TEACHERS COOP SAVINGS & CREDIT SOCIETY LTD,"91,697,527",2.91
6,KIPSIGIS TEACHERS COOP SAVINGS & CREDIT SOCIETY LTD,"84,579,600",2.68
7,TELEPOST CO-OPERATIVE SAVINGS & CREDIT SOCIETY LIMITED,"75,638,570",2.40
8,K-UNITY SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,"73,187,640",2.32
9,CO-OPERATIVE BANK COOP SAVINGS & CREDIT SOCIETY LTD,"62,598,760",1.98
10,NAWIRI SAVINGS AND CREDITCO-OPERATIVE SOCIETY LTD,"57,877,680",1.83
,TOTAL,"856,401,545",27.13
