Column,"Retail and
Business
Banking","Corporate
and
Institutional
Banking","Co-operatives
Banking","Co-op
Consultancy
and Insurance
Agency Ltd","Co-op Trust
Investment
Services Ltd","Kingdom
Securities Ltd","Co-op Bank
Fleet Africa
Leasing Ltd"
Deposit/ Instant Access accounts,,,,,,,
Savings Accounts,,,,,,,
Current accounts,,,,,,,
Fixed/Call deposit accounts,,,,,,,
Foreign Exchange,,,,,,,
Payment solutions,,,,,,,
Mobile Banking Loans (E-Credit),,,,,,,
Trade Finance,,,,,,,
MSME Loans,,,,,,,
Personal/Consumer Loans,,,,,,,
Working Capital Loans,,,,,,,
Asset Finance,,,,,,,
Insurance Premium Financing,,,,,,,
Mortgage Finance,,,,,,,
Banc Assurance,,,,,,,
Consultancy and Capacity Building,,,,,,,
Investment services,,,,,,,
Stock Brokerage,,,,,,,
Leasing,,,,,,,
