Column,Q32022,Q32021,Growth,Growth
,Kshs. '000',Kshs. '000',Kshs. '000',%
Co-operative Bank of Kenya Ltd,"20,834,066","15,358,066","5,476,000",35.7%
Co-operative Bank of South Sudan,"190,393","(103,994)","294,387",283.1%
Co-opTrust Investment Services Ltd,"141,030","92,304","48,727",52.8%
"Co-op Consultancy & Bancassurance
Intermediary Ltd","772,136","648,023","124,114",19.2%
Kingdom Securities Ltd,"10,359",590,"9,769",1654.7%
Kingdom Bank Ltd,"630,157","446,992","183,164",41.0%
Co-op Bank and Subsidiaries Total,"22,578,142","16,441,981","6,136,161",37.3%
Associates share of profit,"152,582","42,046","110,537",262.9%
Group Profit Before Tax,"22,730,724","16,484,027","6,246,697",37.9%
Income Tax Expense,"5,633,850","4,857,312","776,538",16.0%
Group Profit after Tax,"17,096,874","11,626,715","5,470,159",47.0%
