Kshs. Billions (except for EPS),FY2019,FY2018,% Change (Y/Y)
Interest Income,43.64,43.02,1.4%
Interest Expense,12.34,12.24,0.8%
Net Interest Income,31.30,30.78,1.7%
Fees & Commissions,12.82,9.52,34.7%
Forex Income,2.15,2.28,-6.0%
Other Income,2.19,1.09,100.7%
Total Operating Income,48.46,43.68,10.9%
Loan Loss Provision,2.54,1.84,37.9%
Staff Costs,12.37,11.45,8.1%
Other Operating Expenses,12.88,12.4,3.9%
Profit Before Tax and Exceptional Items,20.67,17.99,14.9%
Share of profit of associate,0.04,0.17,-76.6%
Profit Before Tax,20.71,18.16,14.0%
Tax,6.39,5.42,17.9%
Profit After Tax,14.31,12.73,12.4%
Basic Annualized EPS,2.44,2.17,12.4%
