"Appointments and induction to the Board
The Board has adopted and published procedures for the offer themselves for re-election at each Annual General Meeting.
nomination and appointment of new board members. Directors It is also ensured that no director of the bank or its subsidiaries
are appointed in accordance with the company’s Articles of holds a directorship position in more than three public listed
Association. To ensure a smooth transition of Board Members, companies at any one time to ensure effective participation in
one third of directors are eligible to retire by rotation and may the board. Existing and new board members have access to",Column,Column,Column,Column,Column
"Directors – 2023 Board
Meetings Attendance",Co-operative Bank Group,,,,
Schedule of meetings:,"Co-operative
Bank of
Kenya Ltd","Co-op Consultancy
& Bancassurance
Intermediary Ltd","Co-op Trust
Investment
Services Ltd","Kingdom
Securities Ltd","Audit
Committee"
"John K. Murugu, OGW – Chairman
(appointed on 01 October 2017",5,,,,
"Macloud Malonza, MBS, HSC – Vice Chairman
(appointed on 01 October 2017)",5,5,5,,
"Dr. Gideon Muriuki, CBS, MBS
– Group Managing Director & CEO",5,5,5,,5
Lawrence C. Karissa,5,,,,5
"Wilfred Ongoro, HSC",5,,,,
"Wanyambura J. Mwambia
– Representing PS Ministry of Finance",5,,,,5
Julius Sitienei,5,,,5,
Weda Welton (Mrs),5,,,,5
Richard L. Kimanthi,5,,,,
Benedict W. Simiyu,5,,,,5
Godfrey K. Mburia,5,,,,
Patrick K. Githendu,5,,,,5
Margaret Karangatha (Mrs.),5,,,,
Charles Kamari,,,,,
Scholastica Odhiambo (Mrs.),,5,5,,
James N. Njiru,,5,5,,
David M. Muthigani,,5,5,,
David Kirk Obonyo,,4,4,,
Francis Ngone,,5,5,,
Geoffrey M'Nairobi,,5,5,,
Michael Muriithi,,5,5,,
Boaz Ouma Awitti,,,,5,
Mwangi Kariuki,,,,3,
Arthur Muchangi,,,,5,
Lydia Muchiri,,,,3,
Samantha Kibuga,,,,2,
Eng. William W. Mayar – Chairman,,,,,
"John K. Murugu, OGW",,,,,
"Macloud Malonza, MBS, HSC",,,,,
"Dr. G. Muriuki, CBS, MBS
– Group Managing Director & CEO",,,,,
Elijah Wamalwa – Managing Director,,,,,
Prof. Mathew Gordon Udo,,,,,
Zachariah Chianda,,,,,
Hon. Angelo Deng Rehan,,,,,
Hon. Benjamin Ayala Koyongwa,,,,,
