Column,Column,Independent,"Directors
in Coop
Holdings",Skills
1,"John Murugu, Director, Independent, OGW (69)",,,"• Banking
• Public Finance
• Organizational Change and
Development
• Business administration
• Management Information
Systems
• Strategic Planning
• Public Secretarial
• Strategic Leadership
• Corporate & institutional
Banking
• Mathematics
• Business Management
• Coffee Industry Management
• Human Resource Management
• Accounting
• Education management
• Co-operative Management
• Tax
• Economics
• Foreign affairs
• Finance"
2,"Macloud Malonza, HSC, Director (51)",,,
3,"Dr. Gideon Muriuki, CBS, MBS,
Group Managing Director & CEO (55)",,,
4,"Patrick K. Githendu, Director (66)",,,
5,"Rose Simani (Mrs.), Director, Independent (61)",,,
6,"Lawrence Karissa, Director, Independent (64)",,,
7,"Julius Sitienei, Director (65)",,,
8,"Benedict W. Simiyu, Director (58)",,,
9,"Richard L. Kimanthi, Director (63)",,,
10,"Wanyambura Mwambia, Principal Secretary -
National Treasury appointee (64)",,,
11,"Wilfred Ongoro HSC, Director (64)",,,
12,"Godfrey K. Mburia, Director (63)",,,
13,Margaret Karangatha (59),,,
