KShs Millions,KCB GROUP,Column,Column
,"Actual
Dec - 15","Actual
Dec - 16","Y-O-Y
Change"
Cash,"11,965","11,375",(5%)
Balances with Central Bank,"23,962","18,055",(25%)
Balances with other institutions,"52,579","43,507",(17%)
Investments in Government & Other securities,"96,949","102,471",6%
Net loans and advances,"345,969","385,745",11%
Fixed assets,"10,592","12,674",20%
Other assets,"16,078","21,412",33%
Total Assets,"558,094","595,240",7%
Customer Deposits,"424,391","448,174",6%
Balances due to other banks,"23,138","13,123",-43%
Other liabilities,"9,182","14,395",57%
Long-term debt,"20,130","22,982",14%
Total Liabilities,"476,841","498,674",5%
Shareholders’ Equity,"81,254","96,566",19%
Total Liabilities and Equity,"558,094","595,240",7%
