Column,Column,ACTUAL,ACTUAL,"Y-o-Y %
Change"
,,Jun-15,Jun-14,Change
In,terest Income,"25,854","22,409",15%
In,terest Expense,"(6,408)","(5,275)",21%
N,et interest income,"19,446","17,134",13%
F,oreign exchange income,"2,014","2,220",-9%
G,ross fees and commissions,"6,844","5,669",21%
O,ther income,"2,411","2,500",-4%
T,otal operating income,"30,715","27,523",12%
T,otal operating expenses,"(14,919)","(13,639)",9%
P,rovisions for bad debts,"(2,593)","(2,210)",17%
P,rofit before tax,"13,202","11,674",13%
T,ax,"(3,961)","(3,502)",13%
P,rofit after tax,"9,242","8,172",13%
,21,,,
