Kenya1,Tanzania,South Sudan,Rwanda2,Uganda,Burundi
,"15
16
333
491
296
279
17",,"150
77
706
483
1,225
1,127
98",,
296,,14,,14,
519,,4,,15,
"16,437",,49,,385,
"7,564",,21,,295,
"6,771",,155,,290,
"5,386",,155,,270,
"1,385",,-,,20,
,"4.9%
4.8%",,"10.9%
6.4%",,
7.5%,,5.3%,,6.7%,
5.7%,,6.5%,,4.9%,
6.3%,"3.6%
4.4%",18.3%,"0.1%
16.1%",2.0%,
7.9%,,3.2%,,6.8%,
(4.2%),(0.3%),(15.6%),(1.5%),(6.1%),
7.0%,"5.0%
5.0%",10.0%,"4.5%
5.0%",6.5%,
7.5%,,10.0%,,7.5%,
(5.4%),,(7.6%),,(7.9%),
(5.8%),,9.5%,,(7.0%),
(5.3%),,1.1%,,(9.8%),
