KShs Millions,Column,"ACTUAL
Dec -15","ACTUAL
Dec -14","Y-o-Y %
Change"
Int,erest Income,"56,384","47,476",19%
Int,erest Expense,"(17,148)","(11,527)",49%
Ne,t interest income,"39,236","35,949",9%
Fo,reign exchange income,"4,067","4,150",-2%
Fe,es and commissions,"13,103","11,943",10%
Ot,her income,"2,621","3,141",-17%
To,tal operating income,"59,027","55,183",7%
Lo,an loss provision(net),"2,182","3,089",-30%
St,aff costs,"15,311","13,993",9%
Ot,her operating expenses,"14,996","14,314",5%
To,tal Cost,"32,489","31,396",4%
Pr,ofit before tax,"26,538","23,787",12%
Ta,x,"(6,915)","(6,939)",0%
Pr,ofit after tax,"19,623","16,849",16%
,18,,,
