KShs Millions,KCB BANK KENYA,Column,Column,KCB GROUP,Column,Column
,"Actual
Jun - 16","Actual
Jun - 15","% Y-O-Y
Change","Actual
Jun - 16","Actual
Jun - 15","% Y-O-Y
Change"
Interest Income,"28,291","22,525",26%,"31,638","25,854",22%
Interest Expense,"7,783","5,442",43%,"9,109","6,408",42%
Net interest income,"20,508","17,083",20%,"22,529","19,446",16%
Foreign exchange income,"1,036","1,213",-15%,"1,576","2,014",-22%
Net fees and commissions,"4,613","4,544",2%,"6,473","6,844",-5%
Other income,"2,111","1,613",31%,"2,351","2,411",-3%
Total operating income,"28,268","24,453",16%,"32,929","30,715",7%
Total operating expenses,"12,529","11,219",12%,"15,763","14,919",6%
Provisions for bad debts,"1,775","1,450",22%,"2,071","2,593",-20%
Profit before tax,"13,964","11,783",19%,"15,095","13,203",14%
Tax,"4,189","3,535",19%,"4,595","3,961",16%
Profit after tax,"9,775","8,248",19%,"10,500","9,242",14%
