SECTORS,INDUSTRY NUMBERS,Column,KCB NUMBERS,Column
Agriculture,16%,"108,515",23%,"24,958"
Manufacturing,8%,"54,257",19%,"10,309"
Building and Construction,7%,"47,475",21%,"9,970"
Mining and Quarrying,1%,"6,782",-,-
"Electricty, Energy, Water",4%,"27,129",9%,"2,442"
Trade,16%,"108,515",26%,"28,214"
"Tourism, Restaurant and Hotels",9%,"61,040",30%,"18,312"
"Transport, Shipping and Storage",9%,"61,040",12%,"7,325"
Real Estate,8%,"54,257",30%,"16,277"
Education,8%,"54,257",14%,"7,596"
Professional Services,10%,"67,822",32%,"21,703"
Pharmaceuticals,4%,"27,129",30%,"8,139"
Total,100%,"678,218.00",100%,"155,245"
