DIRECTOR,INDUSTRY EXPERIENCE
Andrew Kairu,"Business Management, Corporate Governance"
Henry Rotich (Represented by Julius Mutua),"Financial services, Public sector"
Ngeny Biwott,"Strategy, Risk and crisis management"
Adil Khawaja,Legal and Commercial services and Advisory
Tom Ipomai,"Information Technology, Audit and Accounting"
Georgina Malombe,"Audit, Quality Assurance, Accounting and Financial advisory"
John Nyerere,Strategy and Economics
Lawrence Njiru,"Audit, Quality Assurance, Accounting and Financial advisory"
Joshua Oigara,"Business management, Financial accounting and Financial Services"
Lawrence Kimathi,"Financial advisory, Financial accounting, Business management"
