Assets,"2022
KShs million"
Cash and bank balances,"129,151"
Loans and advances to banks,583
Other assets and prepayments,"5,311"
Current Tax,215
Deferred Tax,79
Loans and advances to customers (net),"62,190"
Property & equipment,"9,948"
Intangible assets – core deposits,"6,489"
Intangible assets – customer relationships,"1,939"
Intangible assets – brand,983
Intangible assets – software,170
Deposits from banks,(11)
Current income tax,(842)
Customer deposits,"(183,596)"
Borrowings,(513)
Deferred income tax,"(3,603)"
Payables and accrued expenses,"(2,562)"
Net identifiable assets acquired,"25,931"
Less: Non-controlling interests (15%),"(3,890)"
Add: Goodwill,"3,070"
Consideration paid,"25,111"
