KShs Millions,KCB BANK KENYA,Column,Column,KCB GROUP,Column,Column
,"Actual
Jun - 16","Actual
Jun - 15","% Y-O-Y
Change","Actual
Jun - 16","Actual
Jun - 15","% Y-O-Y
Change"
Cash,"6,591","6,788",-3%,"10,913","16,209",-33%
Balances with Central Bank,"34,926","11,675",199%,"34,926","11,675",199%
Balances with other institutions,"5,797","7,458",-22%,"43,827","79,985",-45%
"Investments in Government & Other
securities","82,116","85,706",-4%,"96,352","113,471",-15%
Net loans and advances,"315,327","283,200",11%,"347,396","320,601",8%
Fixed assets,"8,683","7,377",18%,"11,094","11,039",0%
Other assets,"14,680","26,169",-44%,"15,434","13,630",13%
Total Assets,"468,119","428,374",9%,"559,942","566,610",-1%
