Director,Classification,Designation,Column,Board,"Audit
and
Risk","Nomination
and
Remuneration","Legal
risk",IHRA*
Mr. Nicholas Ng’ang’a,Non-Executive,Chairperson of the Board,Membership,√,,,,
,,,Attendance,4/4,2/2,,,
Mr. Christopher Flowers,Executive,Managing Director,Membership,√,,√,√,
,,,Attendance,4/4,2/2,5/5,6/6,
Mr. Graham Mclean,Non-Executive,,Membership,√,,,,
,,,Attendance,4/4,2/2,,,
Mr. Daniel Ndonye,Non-Executive,"Chairperson of the Audit & Risk
Committee",Membership,√,√,,,
,,,Attendance,4/4,2/2,,,
Mr. Stephen Waruhiu,Non-Executive,,Membership,√,√,√,√,
,,,Attendance,4/4,2/2,5/5,6/6,
Mr. Andrew Ndegwa Njoroge,Non-Executive,"Chairperson of the Legal Risk
Committee",Membership,√,√,√,√,√
,,,Attendance,4/4,2/2,5/5,6/6,3/3
Dr John K Kimani,Non-Executive,,Membership,√,,,,
,,,Attendance,4/4,2/2,,,
Mr. Ketan Shah,Executive,Finance Director,Membership,√,,,,
,,,Attendance,4/4,2/2,,,
Ms. Pamella Ager,Independent,"Chairperson of the Nomination &
Remuneration Committee",Membership,√,√,√,√,
,,,Attendance,4/4,2/2,5/5,6/6,
