"CONSOLIDATED AND COMPANY STATEMENTS COMPREHENSIVE INCOME FOR THE SIX-MONTHS PERIOD ENDED 30TH
SEPTEMBER 2025",Column,Column,Column,Column
KES '000,GROUP,,COMPANY,
,SEPTEMBER 2025,SEPTEMBER 2024,SEPTEMBER 2025,SEPTEMBER 2024
Trading Business:,,,,
Sales,"137,527","280,509",-,"48,858"
Direct and other operating costs,"81,402","218,580",-,"48,818"
Gross Profit/(Loss),"56,125","61,929",-,40
Administrative and other costs,"134,403","160,965","1,105","1,730"
Profit Before Tax,"(78,278)","(99,036)","(1,105)","(1,690)"
Tax Charge,,-,-,-
Profit After Tax,"(78,278)","(99,036)","(1,105)","(1,690)"
CONSOLIDATED AND COMPANY STATEMENTS OF FINANCIAL POSITION AS AT 30TH SEPTEMBER 2025,,,,
KES '000,GROUP,,COMPANY,
,SEPTEMBER 2025,SEPTEMBER 2024,SEPTEMBER 2025,SEPTEMBER 2024
Portfolio Investments,-,-,"428,756","428,756"
Cash and Cash Equivalents,"16,857","24,541",558,"2,263"
Inventory,"502,754","506,235","6,606","6,244"
Other assets,"2 ,808,593","2 ,578,868","172,168","188,082"
Goodwill ( Business combination) -,,-,"124,500","124,500"
Total Assets,"3 ,328,204","3 ,109,644","732,588","749,845"
Borrowings,"562,201","622,177",-,-
Other liabilities,"941,768","684,618","68,165","80,652"
"Total Liabilities 1 ,503,967 1 ,306,795 68,165",,,,"80,652"
"Total Equity 1 ,824,237",,"1 ,802,849","664,423","669,193"
Share Premium,,,,
Total Capital and Liabilities,"3 ,328,204","3 ,109,644","732,588","749,845"
- - - -,,,,
CONSOLIDATED AND COMPANY STATEMENT OF CHANGES IN EQUITY AS AT 30TH SEPTEMBER 2025,,,,
KES '000,GROUP,,"COMPANY
SEPTEMBER 2025 SEPTEMBER 2024",
,SEPTEMBER 2025,SEPTEMBER 2024,SEPTEMBER 2025,SEPTEMBER 2024
Share Capital,"685,957","685,956","676,856","676,856"
Share Premium,"51,400","51,400","51,400","51,400"
Other Reserves,"1 ,925,000","1 ,770,000",,
Retained Earnings,"( 284,864)","( 151,252)","(63,833)","(59,063)"
Proposed Dividends,-,-,-,-
Non-Controlling interests,,,,
Adjustments for Investment in subsidiaries,"(553,256)","( 553,256)",,
Total,"1 ,824,237","1 ,802,849","664,423","669,193"
