2025,Column,Column,Column,Column,Column,Column
KShs '000,At 1 January 2025,Awarded,Exercised,Lapsed,"At 31 December
2025",Vesting date
Kariuki Ngari,,,,,,
2011 Deferred Restricted Share Award,"32,403",–,"9,833",–,"22,570",14-Mar-25
2013 Share save plan,"2,860",–,–,–,"2,860",1-Dec-27
Birju Sanghrajka,,,,,,
2011 Deferred Restricted Share Award,"6,924",98,"3,301",–,"3,721",14-Mar-25
2013 Share save plan,"1,908",–,–,–,"1,908",14-Mar-25
Chemutai Murgor,,,,,,
2011 Deferred Restricted Share Award,853,6,593,–,266,14-Mar-25
Edith Chumba,,,,,,
2011 Deferred Restricted Share Award,-,"3,382",454,"2,771",157,14-Mar-25
