"I BALANCE SHEET
A. ASSETS",CONSOLIDATED,Column,COMPANY,Column
,"31.12.2023
KShs '000
Audited","31.12.2024
KShs '000
Audited","31.12.2023
KShs '000
Audited","31.12.2024
KShs '000
Audited"
1. Cash (both local and foreign),"3,996,876","4,166,406","3 ,996,876","4 ,166,406"
2. Balances due from Central Bank of Kenya,"38,904,879","28,173,143","3 8,904,879","2 8,173,143"
3. Kenya Government and other securities held for dealing purposes,"5,740,496","774,509","5 ,740,496","7 74,509"
4. Financial Assets at fair value through profit and loss,"953,023","3,275,741","9 53,023","3 ,275,741"
5. Investment Securities:,,,,-
a) Amortised cost:,,,,-
i. Kenya Government securities,-,-,-,-
ii. Other securities,-,-,-,-
b) Fair Value through other comprehensive income (FVOCI),,,,-
i. Kenya Government securities,"63,834,200","92,911,506","6 3,834,200","9 2,911,506"
ii. Other securities,-,"5,091,207",-,"5 ,091,207"
6. Deposits and balances due from local banking institutions,"3,339,369","500,151","3 ,339,369","5 00,151"
7. Deposits and balances due from banking institutions abroad,"618,409","657,492","6 18,409","6 57,492"
8. Tax recoverable,"1,185,327","1,080,212","1 ,052,843","9 61,104"
9. Loans and advances to customers (net),"163,161,777","151,647,379","1 63,161,777","1 51,647,379"
10. Balances due from banking institutions in the group,"129,253,610","78,564,954","1 29,675,405","7 9,428,275"
11. Investments in associates,-,-,-,-
12. Investments in subsidiary companies,-,-,"1 45,243","1 45,243"
13. Investments in joint ventures,-,-,-,-
14. Investment properties,-,-,-,-
15. Property and equipment,"3,168,118","3,471,552","3 ,168,118","3 ,471,552"
16. Prepaid lease rentals,-,-,-,-
17. Intangible assets,"5,016,586","5,516,312","5 ,016,586","5 ,516,312"
18. Deferred tax asset,"3,664,743","2,382,115","3 ,624,168","2 ,276,221"
19. Retirement benefit asset,-,-,-,-
20. Other assets,"6,124,762","6,361,410","6 ,047,186","6 ,209,627"
21.TOTAL ASSETS,"428,962,175","384,574,089","4 29,278,578","3 85,205,868"
B. LIABILITIES,,,,
22. Balances due to Central Bank of Kenya,-,-,-,-
23. Customer deposits,"342,853,241","295,690,089","3 42,853,241","2 95,690,089"
24. Deposits and balances due to local banking institutions,"4,167,441","75,541","4 ,167,441","7 5,541"
25. Deposits and balances due to foreign banking institutions,"159,604","231,321","1 59,604","2 31,321"
26. Other money market deposits,-,-,-,-
27. Borrowed funds,-,-,-,-
28. Balances due to banking institutions in the group,"9,757,711","8,087,854","1 0,368,876","9 ,174,388"
29. Tax payable,-,"1,742,437",-,"1 ,587,139"
30. Dividends payable,"182,320","152,560","1 82,320","1 52,560"
31. Deferred tax liability,-,-,-,-
32. Retirement benefit liability,"48,892","33,960","4 8,892","3 3,960"
33. Other liabilities,"10,260,699","6,784,207","1 0,239,896","6 ,757,765"
34. TOTAL LIABILITIES,"367,429,908","312,797,969","3 68,020,270","3 13,702,763"
C. SHAREHOLDERS' FUNDS,,,,
35. Paid up/Assigned Capital,"2,169,253","2,169,253","2 ,169,253","2 ,169,253"
36. Share premium/(Discount),"7,792,427","7,792,427","7 ,792,427","7 ,792,427"
37. Revaluation reserves,"730,082","721,665","7 30,082","7 21,665"
38. Retained earnings/(Accumulated losses),"40,818,649","43,688,518","4 0,544,690","4 3,415,503"
39. Statutory loan loss reserves,-,-,-,-
40. Other Reserves (Fair value),"(753,453)","1,288,308","(753,453)","1 ,288,308"
41. Proposed dividends,"8,775,254","14,064,702","8 ,775,254","1 4,064,702"
42. Capital grants,"2,000,055","2,051,247","2 ,000,055","2 ,051,247"
43. TOTAL SHAREHOLDERS' EQUITY,"61,532,267","71,776,120","6 1,258,308","7 1,503,105"
44. Minority Interest,-,-,-,-
45. TOTAL LIABILITIES AND SHAREHOLDERS' EQUITY,"428,962,175","384,574,089","4 29,278,578","3 85,205,868"
