III. OTHER DISCLOSURES,"30.06.2021
KShs. '000
Un-audited","31.12.2021
KShs. '000
Audited","31.03.2022
KShs. '000
Un-audited","30.06.2022
KShs. '000
Un-audited"
1) NON-PERFORMING LOANS AND ADVANCES,,,,
a) Gross non-performing loans and advances,"22,864,566","23,283,164","22,568,597","22,741,080"
Less,,,,
b) Interest in suspense,"9,617,092","9,536,615","8,887,583","9,207,177"
c) Net Non-Performing Loans and Advances (a-b),"13,247,474","13,746,549","13,681,014","13,533,903"
Less,,,,
d) Loan loss Provisions,"8,995,528","10,116,212","9,579,475","9,868,798"
e) Net Non-Performing Loans (c-d),"4,251,946","3,630,337","4,101,539","3,665,105"
f) Realizable Value of Securities,"3,644,401","3,207,852","3,358,330","2,936,307"
g) Net NPLs Exposure (e-f),"607,545","422,485","743,209","728,798"
2) INSIDER LOANS AND ADVANCES,,,,
"a) Directors, shareholders and associates","76,575","76,112","76,114","76,505"
b) Employees,"6,486,036","6,506,261","6,357,136","6,401,394"
"c) Total Insider Loans, Advances and Other Facilities","6,562,611","6,582,373","6,433,250","6,477,899"
3) OFF-BALANCE SHEET ITEMS,,,,
"a) Letters of credit,guarantees, acceptances","71,560,347","67,705,074","69,949,446","72,498,945"
"b) Forwards, swaps, and options","53,255,374","48,525,676","49,837,482","36,270,154"
c) Other contingent Liabilities,-,-,-,-
d) Total Contingent Liabilities,"124,815,721","116,230,750","119,786,928","108,769,099"
4) CAPITAL STRENGTH,,,,
a) Core Capital,"42,114,703","40,822,397","41,394,183","41,787,207"
b) Minimum Statutory Capital,"1,000,000","1,000,000","1,000,000","1,000,000"
c) Excess/ (Deficiency),"41,114,703","39,822,397","40,394,183","40,787,207"
d) Supplementary Capital,"6,330,153","5,847,299","6,128,074","6,239,961"
e) Total capital (a+d),"48,444,856","46,669,696","47,522,257","48,027,168"
f) Total risk weighted assets,"265,104,656","262,840,012","269,631,254","270,888,921"
g) Core capital/total deposit liabilities,15.14%,15.38%,15.60%,14.56%
h) Minimum Statutory Ratio,8.00%,8.00%,8.00%,8.00%
i) Excess/ (Deficiency) (g-h),7.14%,7.38%,7.60%,6.56%
j)Core capital/total risk weighted assets,15.89%,15.53%,15.35%,15.43%
k) Minimum Statutory Ratio,10.50%,10.50%,10.50%,10.50%
l) Excess/ (Deficiency) (j-k),5.39%,5.03%,4.85%,4.93%
m)Total capital/total risk weighted assets,18.27%,17.76%,17.62%,17.73%
n) Minimum Statutory Ratio,14.50%,14.50%,14.50%,14.50%
o) Excess/ (Deficiency) (m-n),3.77%,3.26%,3.12%,3.23%
(p) Adjusted Core Capital/Total Deposit Liabilities*,15.18%,15.42%,15.64%,14.60%
(q) Adjusted Core Capital/Total Risk Weighted Assets*,15.93%,15.57%,15.39%,15.46%
(r) Adjusted Total Capital/Total Risk Weighted Assets*,18.31%,17.80%,17.66%,17.77%
5) LIQUIDITY,,,,
a) Liquidity Ratio,70.06%,70.73%,71.56%,73.61%
b) Minimum Statutory Ratio,20.00%,20.00%,20.00%,20.00%
c) Excess/ (Deficiency) (a-b),50.06%,50.73%,51.56%,53.61%
