"105,122,321","(84,841)","8,885,621","(144,935)","245,492",(12),"114,253,434","(229,788)"
"4,208,495","(59,709)","(4,208,495)","59,709",-,-,-,-
"(7,947,009)","26,574","7,947,009","(26,574)",-,-,-,-
-,-,-,"10,310",-,"(10,310)",-,-
"5,855,479","(9,994)","(4,763,689)",-,"(83,356)",-,"1,008,434","(9,994)"
-,"10,330",-,"(74,645)",-,-,-,"(64,315)"
-,"63,746",-,"122,725",-,"1,344",-,"187,815"
"(37,003)","6,068","(12,612)","1,635",(409),(7),"(50,024)","7,696"
"107,202,283","(47,826)","7,847,834","(51,775)","161,727","(8,985)","115,211,844","(108,586)"
-,"64,082",-,"48,080",-,"1,344",-,"113,506"
-,-,-,-,-,-,-,-
-,"64,082",-,"48,080",-,"1,344",-,"113,506"
