"I BALANCE SHEET
A. ASSETS","30.06.2021
KShs. '000
Un-audited","31.12.2021
KShs. '000
Audited","31.03.2022
KShs. '000
Un-audited","30.06.2022
KShs. '000
Un-audited"
1. Cash (both local and foreign),"2,985,141","3,623,968","3 ,212,990","3,024,027"
2. Balances due from Central Bank of Kenya,"25,876,160","20,076,483","1 3,720,693","27,377,869"
3. Kenya Government and other securities held for dealing purposes,"2,694,219","4,580,708","1 2,217,565","2,789,058"
4. Financial Assets at fair value through profit and loss,"620,015","486,538","3 78,937","384,048"
5. Investment Securities:,,,,
a) Amortised cost:,,,,
i. Kenya Government securities,-,-,-,-
ii. Other securities,-,-,-,-
b) Fair Value through other comprehensive income (FVOCI),,,,
i. Kenya Government securities,"98,686,940","91,014,905","8 9,148,941","100,771,113"
ii. Other securities,-,-,-,-
6. Deposits and balances due from local banking institutions,"5,553,065","2,195,493","9 ,665","3,000,411"
7. Deposits and balances due from banking institutions abroad,"133,093","233,558","1 65,128","8,821,194"
8. Tax recoverable,"1,405,295","913,568","9 13,568","924,475"
9. Loans and advances to customers (net),"130,275,654","125,974,590","1 28,092,637","128,520,854"
10. Balances due from banking institutions in the group,"65,251,018","72,303,668","7 7,373,009","73,394,929"
11. Investments in associates,-,-,-,-
12. Investments in subsidiary companies,"145,243","145,243","1 45,243","145,243"
13. Investments in joint ventures,-,-,-,-
14. Investment properties,-,-,-,-
15. Property and equipment,"3,633,367","3,418,034","3 ,331,855","3,261,888"
16. Prepaid lease rentals,-,-,-,-
17. Intangible assets,"3,834,906","3,898,841","4 ,240,205","4,171,755"
18. Deferred tax asset,"1,491,711","2,417,167","2 ,543,989","3,105,371"
19. Retirement benefit asset,-,-,-,-
20. Other assets,"3,070,575","3,828,722","5 ,500,800","4,598,179"
21.TOTAL ASSETS,"345,656,402","335,111,486","3 40,995,225","364,290,414"
B. LIABILITIES,,,,
22. Balances due to Central Bank of Kenya,-,-,-,-
23. Customer deposits,"278,186,884","265,469,114","2 65,381,349","286,911,608"
24. Deposits and balances due to local banking institutions,"54,955","109,570","8 2,014","72,668"
25. Deposits and balances due to foreign banking institutions,"536,413","273,644","2 18,930","193,655"
26. Other money market deposits,-,-,-,-
27. Borrowed funds,-,-,-,-
28. Balances due to banking institutions in the group,"9,874,059","10,714,736","1 1,696,387","14,371,306"
29. Tax payable,-,"274,868","1 ,301,545","815,754"
30. Dividends payable,"257,308","239,936","2 21,757","220,481"
31. Deferred tax liability,-,-,-,-
32. Retirement benefit liability,"19,740","32,277","3 4,304","36,331"
33. Other liabilities,"6,168,773","5,517,946","7 ,433,437","6,235,543"
34. TOTAL LIABILITIES,"295,098,132","282,632,091","2 86,369,723","308,857,346"
C. SHAREHOLDERS' FUNDS,,,,
35. Paid up/Assigned Capital,"2,169,253","2,169,253","2 ,169,253","2,169,253"
36. Share premium/ (Discount),"7,792,427","7,792,427","7 ,792,427","7,792,427"
37. Revaluation reserves,"894,455","889,290","8 86,707","884,124"
38. Retained earnings/ (Accumulated losses),"35,226,672","32,566,322","3 4,515,835","36,793,523"
39. Statutory loan loss reserves,"1,358,939","1,249,844","1 ,804,730","2,176,186"
40. Other Reserves (Fair value),"1,230,252","526,664","1 83,655","(317,046)"
41. Proposed dividends,-,"5,374,599","5 ,374,599","4,016,039"
42.Capital grants,"1,886,272","1,910,996","1 ,898,296","1,918,562"
43. TOTAL SHAREHOLDERS' EQUITY,"50,558,270","52,479,395","5 4,625,502","55,433,068"
44 Minority Interest,-,-,-,-
45. TOTAL LIABILITIES AND SHAREHOLDERS' EQUITY,"345,656,402","335,111,486","3 40,995,225","364,290,414"
