"I BALANCE SHEET
A. ASSETS","30.06.2021
KShs. '000
Un-audited","31.12.2021
KShs. '000
Audited","31.03.2022
KShs. '000
Un-audited","30.06.2022
KShs. '000
Un-audited"
1. Cash (both local and foreign),"2,985,141","3,623,968","3,212,990","3,024,027"
2. Balances due from Central Bank of Kenya,"25,876,160","20,076,483","13,720,693","27,377,869"
3. Kenya Government and other securities held for dealing purposes,"2,694,219","4,580,708","12,217,565","2,789,058"
4. Financial Assets at fair value through profit and loss,"620,015","486,538","378,937","384,048"
5. Investment Securities:,,,,
a) Amortised cost:,,,,
i. Kenya Government securities,-,-,-,-
ii. Other securities,-,-,-,-
b) Fair Value through other comprehensive income (FVOCI),,,,
i. Kenya Government securities,"98,686,940","91,014,905","89,148,941","100,771,113"
ii. Other securities,-,-,-,-
6. Deposits and balances due from local banking institutions,"5,553,065","2,195,493","9,665","3,000,411"
7. Deposits and balances due from banking institutions abroad,"133,093","233,558","165,128","8,821,194"
8. Tax recoverable,"1,459,639","1,007,877","1,002,662","1,020,359"
9. Loans and advances to customers (net),"130,275,654","125,974,590","128,092,637","128,520,854"
10. Balances due from banking institutions in the group,"65,172,933","71,991,928","77,167,727","73,280,268"
11. Investments in associates,-,-,-,-
12. Investments in subsidiary companies,-,-,-,-
13. Investments in joint ventures,-,-,-,-
14. Investment properties,-,-,-,-
15. Property and equipment,"3,633,367","3,418,034","3,331,855","3,261,888"
16. Prepaid lease rentals,-,-,-,-
17. Intangible assets,"3,834,906","3,898,841","4,240,205","4,171,755"
18. Deferred tax asset,"1,588,394","2,479,484","2,619,413","3,160,539"
19. Retirement benefit asset,-,-,-,-
20. Other assets,"3,132,815","3,889,531","5,604,441","4,708,241"
21.TOTAL ASSETS,"345,646,341","334,871,938","340,912,859","364,291,624"
B. LIABILITIES,,,,
22. Balances due to Central Bank of Kenya,-,-,-,-
23. Customer deposits,"278,186,884","265,469,114","265,381,349","286,911,608"
24. Deposits and balances due to local banking institutions,"54,955","109,570","82,014","72,668"
25. Deposits and balances due to foreign banking institutions,"536,413","273,644","218,930","193,655"
26. Other money market deposits,-,-,-,-
27. Borrowed funds,-,-,-,-
28. Balances due to banking institutions in the group,"8,621,014","9,631,154","10,378,899","13,345,908"
29. Tax payable,"64,689","361,913","1,506,083","818,412"
30. Dividends payable,"257,308","239,936","221,757","220,481"
31. Deferred tax liability,-,-,-,-
32. Retirement benefit liability,"19,740","32,277","34,304","36,331"
33. Other liabilities,"6,198,969","5,540,224","7,466,388","6,262,982"
34. TOTAL LIABILITIES,"293,939,972","281,657,832","285,289,724","307,862,045"
C. SHAREHOLDERS' FUNDS,,,,
35. Paid up/Assigned Capital,"2,169,253","2,169,253","2,169,253","2,169,253"
36. Share premium/ (Discount),"7,792,427","7,792,427","7,792,427","7,792,427"
37. Revaluation reserves,"894,455","889,290","886,707","884,124"
38. Retained earnings/ (Accumulated losses),"36,374,771","33,301,033","35,513,468","37,790,034"
39. Statutory loan loss reserves,"1,358,939","1,249,844","1,804,730","2,176,186"
40. Other Reserves (Fair value),"1,230,252","526,664","183,655","(317,046)"
41. Proposed dividends,-,"5,374,599","5,374,599","4,016,039"
42.Capital grants,"1,886,272","1,910,996","1,898,296","1,918,562"
43. TOTAL SHAREHOLDERS' EQUITY,"51,706,369","53,214,106","55,623,135","56,429,579"
44 Minority Interest,-,-,-,-
45. TOTAL LIABILITIES AND SHAREHOLDERS' EQUITY,"345,646,341","334,871,938","340,912,859","364,291,624"
