Column,2022,Column,Column,Column
,Stage 1,Stage 2,Stage 3,
,12-month ECL,Lifetime ECL,"Lifetime
ECL",Total
Amortised cost,Shs’ 000,Shs’ 000,Shs’ 000,Shs’ 000
"Individually and collectively
impaired",,,,
Grade 3: Substandard,-,-,"406,556","406,556"
Grade 4: Doubtful,-,-,"8,080,378","8,080,378"
Grade 5: Loss,-,-,-,-
Gross amount,-,-,-,-
Provision for impairment losses,-,-,"8,486,934","8,486,934"
Carrying amount,-,-,"(3,028,743)","(3,028,743)"
Grade 1: Normal,"26,009,719",-,-,"26,009,719"
Grade 2: Watch,-,"5,234,201",-,"5,234,201"
Gross amount,-,-,-,-
Provision for impairment losses,"(102,961)","(299,975)",-,"(402,936)"
Carrying amount,"25,906,758","4,934,226",-,"30,840,984"
Total Carrying amount,"25,906,758","4,934,226","5,458,191","36,299,175"
