Column,Column,2000,1999
,,KShs'OOO,KShs'OOO
,Accounting profit before taxation,"78,618","114,316"
,Computed tax using the applicable corporation tax rate,"23,585","37,152"
,Non-deductible costs and depreciation on ineligible assets,"2,810","6,653"
,Deferred tax arising from future reduction intax rate,,(174)
,Tax expense,"26,395","43,631"
9,EARNINGS PERSHARE,,
,Net profitforthe year attributable to shareholders,"52,223","70,686"
,Number ofordinary shares in issue (inthousands),"115,000","115,000"
,Earnings per share,KShs 0.45,KShs 0.61
10 DIVIDENDS PERSHARE,,,
,Dividends,"43,125","57,500"
,Number ofordinary shares in issue (inthousands),"115,000","115,000"
,Dividends per share,KShs 0.38,KShs 0.50
