Cost or valuation,Column,Column,Column,Column,Column,Column,Column
At 1January 2000,"16,000",,"203,900","247,731",,"303,551","771,182"
Additions,,,,,"2,665","30,116","32,781"
Reclassification,,,,,119,(119),
Deficit on revaluation,"(9,OOO)",,"(79,900)","(76,736)",,,"(165,636)"
Disposals,,,,,,"(14,178)","(14,178)"
At 31 December 2000,"7,000",,"124,000","173,779",,"319,370","624,149"
At cost,,,,,"3,779","319,370","323,149"
At valuation,"7,000",,"124,000","170,000",,,"301,000"
Depreciation,,,,,,,
At 1January 2000,,,,"15,325",,"216,205","231,530"
Charge for theyear,,,,"3,253",,"31,932","35,185"
Write back on revaluation,,,,"(14,843)",,,"(14,843)"
Disposals,,,,,,"(13,885)","(13,885)"
At 31 December 2000,,,,"3,735",,"234,252","237,987"
On cost,,,,"3,735",,"234,252","237,987"
On valuation,,,,,,,
Net book value,,,,,,,
At 31 December 2000,"7,000",,"124,000","170,044",,"85,118","386,162"
"At 31 December 1999 16,000",,,"203,900","232,406",,"87,346","539,652"
Revaluation of assets,,,,,,,
The group's land and buildings were professionally valued by the Group's Chief Valuer on,,,,,,,
an open market basis on 31,,December 2000. The resulting deficit was debited to,,,,,
revaluation reserve.,,,,,,,
Thenet book value (NBV) of the properties at their historical costisas follows:,,,,,,,
,,,,2000,,1999,
,,,KShs'OOO,,,KShs'OOO,
Freehold land,,,,206,,206,
Long leasehold land,,,,"52,891",,"52,891",
Buildings,,,,"69,379",,"71,252",
,•,,,,,,
