Lender,Covenant,Required limit,"HFC ratio at
end of year"
Shelter Afrique,"Capital adequacy
ratio","Minimum of
14.5%",9.02%
,Cost to income ratio,Maximum of 87%,96.04%
,"Investment in land
and building ratio",Maximum of 20%,38.32%
"East African Development Bank
(EADB)","Capital adequacy
ratio","Minimum of
14.5%",9.02%
,Single obligor ratio,Minimum of 25%,56.9%
,Single insider ratio,Maximum of 20%,43.23%
,"Investment in land
and building ratio",Maximum of 20%,38.32%
"Arab Bank for Economic
Development in Africa (BADEA)","Capital adequacy
ratio","Minimum of
14.5%",9.02%
Britam,"Capital adequacy
ratio","Minimum of
14.5%",9.02%
,Single obligor ratio,Maximum of 25%,56.9%
,Single insider ratio,Maximum of 20%,43.23%
European Investment Bank (EIB),"Capital adequacy
ratio","Minimum of
14.5%",9.02%
,"Non performing
loans to total loans
ratio",Minimum of 15%,25.5%
,Open exposure ratio,Maximum of 30%,46.07%
