NOTES TO THE,26,NOTES TO THE CASH FLOW STATEMENT,Column,Column
FINANC~AL,,,,
STATEMENTS,a),Reconciliation of operating profit to net,,
continued,,cash inflow / (outflow) from operating activities,,
,,,2000,1999
,,,KShs'OOO,KShs'OOO
,,Group profit before taxation,"78,618","114,317"
,,Decrease in interest receivable,"3,201","9,595"
,,Decrease in interest payable,"(63,104)","(101,864)"
,,Mortgage lossprovision,"246,522","416,362"
,,Interestsuspended,"470,075","636,888"
,,Depreciation,"35,185","36,723"
,,Profit on saleof equipment,"(2,823)",(440)
,,Loan interest,"4,581","5,991"
,,Increase in public deposits,"326,727","408,528"
,,Mortgage disbursements,"(800,950)","(1,653,799)"
,,Mortgage recoveries,"145,499","168,576"
,,Decrease / (increase) in other assets,"45,788","(114,416)"
,,(Decrease) / increase in other liabilities,"(36,764)","57,506"
,,Retirementbenefits obligations,"11,141",
,,(Decrease) / increase in,,
,,Housing Development Projects,"254,471","(26,687)"
,,Taxation paid,"(5,376)","(50,361 )"
,,Net cash inflow / (outflow),,
,,from operating activities,"712,791","(93,081)"
,b),Movement in cash and cash equivalents,,
,,Representedby increase / (decrease) in:,,
,,Cash at bank and in hand,"73,527","163,058"
,,Investmentsin Government Securities,"721,881","334,717"
,,Depositsand balances due,,
,,from banking institutions,"(218,898)","(855,074)"
,,Balancesdue to banking institutions,"53,014","73,020"
,,,"629,524","(284,279)"
