Year ended 31 December 2023,Column,Column,Column,Column
Cost,,,,
At start of year and end of year,"188,904","595,949","219,903","1,004,756"
Remeasurement during the year,-,"25,934",-,"25,934"
Adjustments due to changes in cashflows,-,"(6,760)","(61,015)","(67,775)"
Transfer of land to inventory,"(8,904)",-,-,"(8,906)"
"Transfer of land to property plant and
equipment","(180,000)",-,-,"(180,000)"
,-,"615,123","158,888","774,009"
Accumulated depreciation,,,,
At start of year,"(10,424)","(408,673)","(93,046)","(512,143)"
Charge for the year,,"(53,009)","(25,425)","(78,434)"
Transfers,"6,310",-,-,"6,310"
Reversal of accumulated depreciation,"4,362",-,-,"4,362"
Total accumulated depreciation,248,"(461,682)","(118,471)","(579,905)"
At end of year,248,"153,441","40,417","194,104"
