(a) Group,"Freehold
land","Leasehold
land",Buildings,"Furniture,
fixtures,
equipment &
motor vehicles",Total
"Year ended
31 December 2023",Shs’000,,Shs’000,Shs’000,Shs’000
Cost or valuation,,,,,
At start of year,"62,000",-,"360,000","1,295,663","1,717,663"
Additions,-,-,-,"85,183","85,183"
Work in progress,-,-,-,"12,336","12,336"
Disposals,-,-,-,"(12,873)","(12,873)"
Valuation gain,-,,"20,000",-,"20,000"
Transfer from right of use asset,,"180,000",-,-,"180,000"
At end of year,"62,000","180,000","380,000","1,380,309","2,002,309"
Comprising:,,,,,
At cost,"52,000","180,000","260,000","1,380,309","1,872,309"
At valuation,"10,000",,"120,000",,"130,000"
,"62,000","180,000","380,000","1,380,309","2,002,309"
Accumulated depreciation,,,,,
At start of year,-,-,"13,716","1,124,532","1,138,248"
Charge for the year,-,-,"10,059","67,593","77,652"
Disposals,-,-,-,"(12,536)","(12,536)"
Transfers,-,"6,310",-,-,"6,310"
At end of year,,"6,310","23,775","1,179,589","1,209,674"
"Net book value
at end of year","62,000","173,690","356,225","200,720","792,635"
