Column,2017 KShs’000,Column,Column,2016 KShs’000,Column,Column
Name,Fees,"Sitting
Allowance",Total,Fees,"Sitting
Allowance",Total
Steve O. Mainda,"5,199",-,"5,199","5,324",-,"5,324"
Dr. Benson Wairegi,488,"1,300","1,788",488,"1,352","1,840"
Dr. Peter K. Munga,488,704,"1,192",488,952,"1,439"
Adan D. Mohamed,648,"1,872","2,520",648,"1,248","1,896"
Constance Gakonyo,488,"1,040","1,528",488,468,956
Dr. Kaushik Manek,488,"1,040","1,528",488,676,"1,164"
Felister Kembi,488,572,"1,060",85,208,293
Gladys Karuri,488,572,"1,060",55,156,211
,"8,772","7,100","15,872","8,062","5,060","13,122"
