Column,Column,2023,2022
,Note,Shs’ 000,Shs’ 000
Credit exposures,,,
On – balance sheet items,,,
"Balances and deposits due from financial
institutions*",16,"1,277,201","1,652,834"
Investment securities,18,"9,682,141","8,540,137"
Loans and advances to customers,22,"38,787,793","36,299,175"
Other assets**,23,"1,299,136","1,076,671"
,,"51,046,271","47,568,817"
Off - balance sheet items,,,
Guarantees,,"2,428,566","1,353,528"
"Letters of credit, acceptances and other credits",,"80,452","581,569"
,,"2,509,018","1,935,097"
,,"53,555,289","49,503,914"
