Column,Level 1,Level 2,Level 3,Total
31 December 2024,Shs’000,Shs’000,Shs’000,Shs’000
Financial assets,,,,
Cash and balances with banks,-,"2,578,697",-,"2,578,697"
Placements with other banks,-,"1,066,290",-,"1,066,290"
Loans and advances,-,"38,861,015",-,"38,861,015"
Investment in government securities,-,"13,741,761",-,"13,741,761"
Non-financial assets,,,,
Investment properties,-,"1,905,000",-,"1,905,000"
Derivative Assets,-,"15,797",-,"15,797"
,-,"58,168,560",-,"58,168,560"
Financial liabilities,,,,
Deposits from customers,-,"47,470,735",-,"47,470,735"
Deposits from banks,-,"388,106",-,"388,106"
Derivative liabilities,,,,
,-,"47,858,841",-,"47,858,841"
