"Year ended 31
December 2024",Column,Column,Column,Column,Column
Cost or valuation,,,,,
At start of year,"62,000","180,000","380,000","1,380,309","2,002,309"
Additions,-,-,-,"159,936","159,936"
Work in progress,-,-,-,"6,960","6,960"
Disposals,-,-,-,"(2,774)","(2,774)"
At end of year,"62,000","180,000","380,000","1,544,431","2,166,431"
"Accumulated
depreciation",,,,,
At start of year,-,"6,310","23,775","1,179,589","1,209,674"
Charge for the year,-,-,"10,233","73,978","84,211"
At end of year,-,"6,310","34,008","1,253,567","1,293,885"
"Net book value at end
of year","62,000","173,690","345,992","290,864","872,546"
