31 December 2023,FVTPL,FVOCI,"At amortised
cost","Total carrying
amount"
,Shs’000,Shs’000,Shs’000,Shs’000
Financial assets,,,,
Cash and cash equivalents,-,-,"2,145,150","2,145,150"
Placements with banks,-,-,"607,391","607,391"
"Investment in Government
securities",-,"5,645,273","4,036,868","9,682,141"
"Loan and advances to custom-
ers",-,-,"38,787,793","38,787,793"
Investment properties,"1,885,000",-,-,"1,885,000"
,"1,885,000","5,645,273","45,577,202","53,107,475"
Financial liabilities,,,,
Deposits from Banks,-,-,"1,500,000","1,500,000"
Customer deposits,-,-,"43,868,948","43,868,948"
"Government of Kenya income
notes",-,-,"52,860","52,860"
Borrowings,,-,"3,740,432","3,740,432"
Derivatives,"1,570",-,-,"1,570"
,"1,570",-,"49,162,240","49,163,810"
