31 December 2023,US$,GBP,Euro,Total
,Shs’ 000,Shs’ 000,Shs’ 000,Shs’ 000
Assets,,,,
Cash and cash equivalents,"282,596","38,911","37,512","359,019"
Loans and advances to customers,"2,917,495","42,168",2,"2,959,665"
Investment in Govt. securities,"1,772,823",-,-,"1,772,823"
Other assets,"94,545","1,543",814,"96,902"
Total assets,"5,067,459","82,622","38,328","5,188,409"
Liabilities,,,,
Customer deposits,"3,199,189","11,361","22,411","3,232,961"
Borrowed funds,"1,800,086",-,-,"1,800,086"
Other liabilities,-,"119,511","14,152","133,663"
Total liabilities,"4,999,275","130,872","36,563","5,166,710"
Net financial position,"68,183","(48,249)","1,764","21,698"
