Group,Column,Company,Column
2024,2023,2024,2023
Shs’000,Shs’000,Shs’000,Shs’000
"1,071,546","(1,352,115)","1,161,025","(1,352,115)"
"321,464","(405,635)","348,308","(405,635)"
"(910,039)","(193,352)","(910,039)","(193,352)"
"(4,479)","(30,152)","(4,479)","(30,152)"
"240,666","107,032","213,822","107,032"
"356,859","526,459","356,859","526,459"
"4,471","4,352","4,471","4,352"
"(30,261)","(34,613)","(30,409)","(34,761)"
"4,471","4,352","4,471","4,352"
(148),-,-,-
"(25,938)","(30,261)","(25,938)","(30,409)"
