Column,<3 months,3 - 6 months,6 – 12 months,1 - 5 years,Total
Group 30th June 2021,Kes’000,Kes’000,Kes’000,Kes’000,Kes’000
Financial assets,,,,,
Cash and cash equivalents (Note 21),"31,622",-,-,-,"31,622"
Trade and other receivables (Note 23),"537,270","250,000","500,000",-,"1,287,270"
Financial liabilities,,,,,
Trade and other payables (Note 28),"(267,115)","(2,891,040)","(6,203,409)",-,"(9,361,564)"
Lease liabilities (undiscounted),"(9,883)","(14,825)","(14,824)","(29,548)","(69,080)"
Borrowings (undiscounted),"(3,826,025)",-,-,-,"(3,826,025)"
Dividend payable (Note 29),-,-,"(101,680)",-,"(101,680)"
Net financial liabilities,"___________
(3,534,131)
___________
___________","___________
(2,655,865)
___________
___________","___________
(5,819,913)
___________
___________","___________
(29,548)
___________
___________","___________
(12,039,457)
___________
___________"
