Column,<3 months,3 - 6 months,6 – 12 months,1 - 5 years,Total
Company 30th June 2021,Kes’000,Kes’000,Kes’000,Kes’000,Kes’000
Financial assets,,,,,
Cash and cash equivalents (Note 21),"20,649",-,-,-,"20,649"
Trade and other receivables (Note 23),"505,923","250,000","500,000",-,"1,255,923"
Financial liabilities,,,,,
Trade and other payables (Note 28),"(264,404)","(2,891,060)","(6,203,409)",-,"(9,358,873)"
Lease liabilities (undiscounted),"(9,883)","(14,825)","(14,824)","(29,548)","(69,080)"
Borrowings (undiscounted),"(3,826,025)",-,-,-,"(3,826,025)"
Dividend payable (Note 29),-,-,"(101,680)",-,"(101,680)"
Net financial liabilities,"___________
(3,573,740)
___________
___________","___________
(2,655,885)
___________
___________","___________
(5,819,913)
___________
___________","___________
(29,548)
___________
___________","___________
(12,079,086)
___________
___________"
