Column,Column,Column,Group and Company,Column
,,,2022,2021
,,,Kes’000,Kes’000
At start of year,,,,-
Charge to other comprehensive income,,,"(18,004)","(158,890)"
Deferred tax credited to profit or loss,,,"18,004","158,890"
At end of year,,,"___________
-
___________
___________","___________
-
___________
___________"
Group and Company,,,,
Year ended 30th June 2021,1st July 2020,"Charge/credited to
profit and loss",Charge to OCI,"At 30th June
2021"
,Kes’000,Kes’000,Kes’00,Kes’000
Deferred tax liabilities,,,,
"Property, plant and equipment","1,271,761","130,332","113,260","1,515,353"
Investment properties,"1,245,484","29,621",-,"1,275,105"
,"___________
2,517,245
___________","___________
159,953
___________","___________
113,260
___________","___________
2,790,458
___________"
Deferred tax assets,,,,
Tax losses carried forward (Note 27 (b)),"(3,441,501)","(1,450,483)",-,"(4,891,984)"
Provisions,"(1,015,887)","(41,443)","45,630","(1,011,700)"
Leases,993,"(2,564)",-,"(1,571)"
Other temporary differences,"(332,959)","(44,160)",-,"(377,119)"
,"___________
(4,789,354)
___________","___________
(1,538,650)
___________","___________
45,630
___________","___________
6,282,374
___________"
Net deferred income tax asset,"(2,272,109)","(1,378,697)","158,890","(3,491,916)"
Deferred tax written off,"2,272,109","1,219,807",-,"3,491,916"
Net deferred income tax liability(asset),"___________
-
___________
___________","___________
(158,890)
___________
___________","___________
158,890
___________
___________","___________
-
___________
___________"
