"Freehold
land",Buildings,"Plant and
machinery","Motor
Vehicles","Computers
office
equipment
furniture
and fittings","Capital
Work in
progress",Total
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,,Shs’000
"363,000","958,000","5,175,124","94,811","48,721","157,021","6,796,677"
,"(23,815)","(301,534)","(65,192)","(8,729)",-,"(399,270)"
"363,000","934,185","4,873,590","29,619","39,992","157,021","6,397,407"
"363,000","934,185","4,873,590","29,619","39,992","157,021","6,397,407"
-,-,"101,677",-,"8,196",-,"109,873"
-,-,"(18,453)",-,"(15,755)",-,"(34,208)"
-,"(23,815)","(367,135)","(3,992)","(12,221)",-,"(407,163)"
-,-,"2,050",-,"3,911",-,"5,961"
-,-,"(960,784)",-,-,-,"(960,784)"
"363,000","910,370","3,630,945","25,627","24,123","157,021","5,111,086"
"363,000","958,000","5,258,348","94,811","41,162","157,021","6,872,342"
-,"(47,630)","(666,619)","(69,184)","(17,039)",-,"(800,472)"
-,-,"(960,784)",-,-,-,"(960,784)"
"363,000","910,370","3,630,945","25,627","24,123","157,021","5,111,086"
"363,000","910,370","3,630,945","25,627","24,123","157,021","5,111,086"
-,-,"122,514",-,"37,622",-,"160,136"
,,,,"(3,649)",,"(3,649)"
-,-,-,"(7,680)",(470),-,"(8,150)"
-,"(23,815)","(298,402)","(3,454)","(17,521)",-,"(343,192)"
-,-,-,"4,320",119,-,"4,439"
"363,000","886,555","3,455,057","18,813","40,224","157,021","4,920,670"
"363,000","958,000","4,420,078","87,131","74,784","157,021","6,059,895"
-,"(71,445)","(965,021)","(68,318)","(31,119)",-,"(1,139,225)"
"363,000","886,555","3,455,057","18,813","40,224","157,021","4,920,670"
