Column,2021,2020,2019,2018,2017
,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
Turnover,"2,762,748","2,474,902","2,847,273","5,182,721","6,928,307"
Operating Loss,"(3,212,366)","(3,128,541)","(2,062,381)","(3,479,298)","(1,316,283)"
Profit / (loss) before tax,"1,735,936","(2,798,610)","(2,961,898)","6,962,123","(1,712,903)"
Taxation credit /(charge),"151,644","29,263","(399,990)","811,541","241,542"
Profit /(loss) attributable to members,"2,258,984","(2,766,838)","(3,288,772)","7,917,767","(1,471,361)"
Dividends,,,,-,-
Capital Employed,,,,,
Assets,,,,,
Non current,"32,197,669","32,762,649","32,922,661","35,617,915","25,408,293"
Current,"2,443,441","2,414,244","3,618,444","1,985,639","1,949,095"
Total assets,"34,641,110","35,176,893","36,541,105","37,603,554","27,357,388"
Equity & Liabilities,,,,,
Share holders funds,"21,012,124","18,753,140","21,519,978","24,808,750","16,890,983"
Non current liabilities,"447,786","179,985","1,232,026","4,672,772","4,270,192"
Current liabilities,"13,181,200","16,243,768","13,789,101","8,122,032","6,196,213"
Total Equity & Liabilities,"34,641,110","35,176,893","36,541,105","37,603,554","27,357,388"
Ratio Analysis,,,,,
Profitability and Efficiency Ratios,,,,,
Gross (Loss)/ Profit margin,-30%,-33%,-42%,2%,11%
Operating loss margin,-116%,-126%,-72%,-69%,-19%
Net profit margin,69%,-112%,-116%,150%,-21%
Return on assets,6%,-8%,-9%,21%,-5%
Return on Equity,9%,-15%,-15%,32%,-9%
Liquidity Ratios /Working capital,,,,,
Current ratio,0.19,0.15,0.26,0.25,0.31
Quick ratio,0.10,0.08,0.18,0.09,0.11
Earnings per Share (Basic and diluted),20.97,(30.77),(37.35),86.64,(16.35)
