Group,Column,Company,Column
2024,2023,2024,2023
Shs’000,Shs’000,Shs’000,Shs’000
-,"9,472",-,"9,472"
"2,231","37,021","2,231","37,021"
"9,333","14,049","9,333","14,049"
"7,596","16,722","7,596","16,722"
"3,269","9,736","3,269","9,736"
"22,429","87,000","22,429","87,000"
Group,,Company,
2024,2023,2024,2023
Shs’000,Shs’000,Shs’000,Shs’000
"597,744","546,752","597,744","546,752"
"51,507","43,882","51,507","43,882"
"57,783","71,599","57,783","71,599"
"2,001","30,716","2,001","30,716"
"10,724","17,257","10,724","17,257"
"1,139","5,676","1,139","5,676"
"91,977","54,625","2,498","54,625"
"24,726","19,864","24,726","19,864"
"8,075","3,696","8,075","3,696"
"15,917","17,460","15,917","17,460"
"12,824","10,656","12,824","10,656"
"3,301","3,065","3,301","3,065"
"4,640","15,429","4,640","15,429"
"2,297",751,"2,297",751
"9,612","3,237","9,612","3,237"
"894,267","844,665","804,788","844,665"
