Column,No of shares,Column
Board Of Trustees National Social Security Fund(NSSF),"24,300,000",27.0
The Permanent Secretary to the National Treasury,"22,799,505",25.3
Cementia Holdings AG,"13,180,442",14.6
Associated International Cement Ltd,"13,144,442",14.6
Nairobi Nominees Ltd A/C BCL,"11,265,068",12.5
Kestrel Capital Nominess Ltd A/C 006,"725,627",0.8
Gidjoy Investments Limited,"700,000",0.8
Kestrel Capital Nominees Ltd A/C 007,"496,380",0.6
Kenya Commercial Bank Nominees Limited A/C 885,"450,000",0.5
Nairobi Nominees Ltd A/C MSV,"218,500",0.2
Other Shareholders,"2,720,036",3.0
,"90,000,000",
