Column,Share Capital,"Share
Premium","Asset
revaluation","Retained
earnings","Other
reserves",Total
Year ended 30th June 2021,,,,,,
,Kes’000,Kes’000,Kes’000,Kes’000,Kes’000,Kes’000
At start of year,"450,000","648,000","1,181,352","16,306,765","167,023","18,753,140"
"Transfer of excess
depreciation",-,-,"(233,083)","233,083",-,-
"Deferred tax on excess
depreciation",-,-,"69,925","(69,925)",-,-
Profit for the year,-,-,-,"1,887,580",-,"1,887,580"
"Other comprehensive
income",-,-,"264,274",-,"107,130","371,404"
"Total comprehensive
income for the year",-,-,"264,274","1,887,580","107,130","2,258,984"
At end of year,"___________
450,000
___________
___________","___________
648,000
___________
___________","___________
1,282,468
___________
___________","___________
18,357,503
___________
___________","___________
274,153
___________
___________","___________
21,012,124
___________
___________"
Year ended 30th June 2022,,,,,,
At start of year,"450,000","648,000","1,282,468","18,357,503","274,153","21,012,124"
"Transfer of excess
depreciation",-,-,"(357,886)","357,886",-,-
"Deferred tax on excess
depreciation",-,-,"107,366","(107,366)",-,-
Profit for the year,-,-,-,"541,585",-,"541,585"
"Other comprehensive
income",-,-,-,,"27,582","27,582"
"Total comprehensive
income for the year",-,-,-,"541,585","27,582","569,167"
At end of year,"___________
450,000
___________
___________","___________
648,000
___________
___________","___________
1,031,948
___________
___________","___________
19,149,608
___________
___________","___________
301,735
___________
___________","___________
21,581,291
___________
___________"
