"Freehold
land",Buildings,"Plant and
machinery","Motor
Vehicles","Computersoffice
equipment
furniture and
fittings","Capital
Work in
progress",Total
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,,Shs’000
"362,000","1,265,602","6,314,510","353,679","58,618","172,418","8,526,827"
-,"(63,108)","(844,216)","(123,434)","(20,367)",-,"(1,051,125)"
"362,000","1,202,494","5,470,294","230,245","38,251","172,418","7,475,702"
"362,000","1,202,494","5,470,294","230,245","38,251","172,418","7,475,702"
-,-,-,-,"6,354",-,"6,354"
-,-,-,"(5,788)",-,-,"(5,788)"
-,"(31,640)","(424,984)","(62,669)","(14,465)",-,"(533,758)"
-,-,-,"4,204",-,-,"4,204"
-,-,-,-,-,"(15,397)","(15,397)"
"362,000","1,170,854","5,045,310","165,992","30,140","157,021","6,931,317"
"362,000","1,265,602","6,314,510","347,891","64,972","157,021","8,511,996"
-,"(94,748)","(1,269,200)","(181,899)","(34,832)",-,"(1,580,679)"
"362,000","1,170,854","5,045,310","165,992","30,140","157,021","6,931,317"
"362,000","1,170,854","5,045,310","165,992","30,140","157,021","6,931,317"
-,-,"91,299","2,997","2,266",-,"96,562"
"1,000","(307,602)","(1,344,583)","(48,732)","(41,348)",-,"(1,741,265)"
-,"(31,640)","(427,745)","(62,680)","(16,086)",-,"(538,151)"
-,"126,388","1,696,945","244,579","50,887",-,"2,118,799"
"363,000","958,000","5,061,226","302,156","25,859","157,021","6,867,262"
"363,000","958,000","5,061,226","302,156","25,859","157,021","6,867,262"
-,-,-,-,-,-,-
"363,000","958,000","5,061,226","302,156","25,859","157,021","6,867,262"
