Group,Column,Company,Column
Year ended 30 June,,Year ended 30 June,
2024,2023,2024,2023
Shs’000,Shs’000,Shs’000,Shs’000
"3,279,053","2,953,573","3,279,053","2,953,573"
"(4,056,504)","(3,909,857)","(4,056,504)","(3,909,857)"
"(777,451)","(956,284)","(777,451)","(956,284)"
"87,878","78,936","87,878","78,936"
"(22,429)","(87,000)","(22,429)","(87,000)"
"(894,267)","(844,665)","(804,788)","(844,665)"
"(346,171)","(237,070)","(346,171)","(237,070)"
"(9,049)","120,056","(9,049)","120,056"
"(1,961,489)","(1,926,027)","(1,872,010)","(1,926,027)"
(427),"(70,594)",(427),"(70,594)"
"3,033,462","644,506","3,033,462","644,506"
"1,071,546","(1,352,115)","1,161,025","(1,352,115)"
"(4,471)","(4,352)","(4,471)","(4,352)"
"1,067,075","(1,356,467)","1,156,554","(1,356,467)"
"93,598","11,623","93,598","11,623"
-,"(960,784)",-,"(960,784)"
"25,796","(61,400)",,-
"1,186,469","(2,367,028)","1,250,152","(2,305,628)"
11.79,(15.07),12.79,(15.07)
