Condensed Consolidated Statement Of Cash Flows For the 6 Months period ended 30 June,Column,Column,Column,Column
,Condensed Consolidated Statement Of Cash Flows For the 6 Months period ended 30 June,,,
,,,2021,2020
,,,Shs,Shs
,,Operating activities,,
,,Cash from operations,"121,827,264","225,787,536"
,,Interest paid,"(74,858,725)","(202,911,927)"
,,Net cash from operating activities,"46,968,539","22,875,609"
,,Net cash (used in) investing activities,-,"(11,136,345)"
,,Net cash (used in) financing activities,"(38,104,657)","(24,164,842)"
,,(Decrease)/increase in cash and cash equivalents,"8,863,882","(12,425,578)"
,,Movements in cash and cash equivalents,,
,,At start of year,"(1,437,411)","10,988,166"
,,(Decrease)/increase,"8,863,882","(12,425,578)"
,,At end of year,"10,301,293","(1,437,411)"
