Column,Year ended 31 December 2020,Column,Column,Column
,Name,"Salary
Kes.","Meeting attendance fees
Kes.","Total
Kes."
1.,Boniface Kamau - Chairperson,-,"150,000.00","150,000.00"
2.,Susan Kasinga,-,-,-
3.,Geoffrey Kamau,-,"50,000.00","50,000.00"
4.,Jack Waihenya,-,"100,000.00","100,000.00"
5.,Barth Ragalo,-,"100,000.00","100,000.00"
6.,Connie Gakonyo,-,-,-
7.,Mbugua Gecaga,-,"100,000.00","100,000.00"
8.,Winnie Ngumi,-,"100,000.00","100,000.00"
,TOTAL,-,"600,000.00","600,000.00"
,Year ended 31 December 2019,,,
,Name,"Salary
Kes.","Meeting attendance fees
Kes.","Total
Kes."
1.,Boniface Kamau - Chairperson,-,"225,000.00","225,000.00"
2.,Susan Kasinga,-,-,-
3.,Geoffrey Kamau,-,"100,000.00","100,000.00"
4.,Jack Waihenya,-,"150,000.00","150,000.00"
5.,Barth Ragalo,-,"50,000.00","50,000.00"
6.,Connie Gakonyo,-,-,-
7.,Mbugua Gecaga,-,"150,000.00","150,000.00"
8.,Winnie Ngumi,-,"100,000.00","100,000.00"
,TOTAL,-,"725,000.00","725,000.00"
