Issuer Name,Shri Krishana Overseas PLC
Issuer Contact Information,info@skl.co.ke
Current Directors of the Issuer,"Mr. Sureshkumar H Patel
Independent Non-executive Chairman
Dr. Sonvir Singh
Managing Director
Ms. Nirmla Devi
Executive Director
Mr. Bharat Singh
Executive Director
Mr. Muciri Kiambo
Independent Director
Ms. Alice Wanjiru Mutitu
Independent Director
Mr. Sheth Kumar Harshad
Independent Director"
Registered Office,"Bomco Building,
Falcon Road off Enterprise Road,
Industrial Area, Nairobi"
Financial Calendar,December 31st
Date of Incorporation,12th June 2009
Legislation,"Companies Act, No. 17 of 2015"
Legal Form,Public Limited Company
Subsidiaries,N.A.
Auditors,"Prakash Associates
Certified Public Accountants
P.O. Box 18727, 00500
Nairobi"
Bankers,DTB Kenya Ltd
