Subsidiary,Country of incorporation,"2013
%","2012
%"
Cable Holdings Limited*,Kenya,94.8,94.8
East African Cables Limited,Kenya,64.3,64.3
East African Cables Tanzania Limited,Tanzania,32.8,32.8
Avery (East Africa) Limited,Kenya,94.4,94.4
Trans-Century Holdings (Pty) Limited,South Africa,100.0,100.0
Tanelec Limited,Tanzania,70.0,70.0
Crystal Limited,Tanzania,100.0,100.0
TC Mauritius Holdings Limited,Mauritius,100.0,100.0
Cable Holdings Mauritius Limited,Mauritius,100.0,100.0
TC Engineering and Contracting Limited,Mauritius,100.0,100.0
TC Railway Holdings Limited*,Mauritius,100.0,100.0
Safari Rail Company Limited*,Mauritius,100.0,100.0
Civicon Africa Group Limited,Mauritius,62.0,62.0
Civicon DRC Holdings Limited,Mauritius,69.6,69.6
Cableries du Congo Sprl,Democratic Republic of Congo,100.0,100.0
