Subsidiary,"Country of
incorporation","2023 %
Audited","2022 %
Audited"
Cable Holdings Limited,Kenya,100,100
East African Cables PLC,Kenya,68.4,68.4
East African Cables Tanzania Limited*,Tanzania,35,35
AEA Limited,Kenya,94.4,94.4
TransCentury Holdings (Pty) Limited,South Africa,100,100
Tanalec Limited,Zambia,56,56
Tanelec Limited,Tanzania,70,70
Crystal Limited,Tanzania,100,100
TC Mauritius Holdings Limited,Mauritius,100,100
Cable Holdings Mauritius Limited,Mauritius,100,100
TC Engineering and Contracting Limited,Mauritius,100,100
TC Railway Holdings Limited,Mauritius,100,100
Safari Rail Company Limited,Mauritius,100,100
Civicon Africa Group Limited,Mauritius,100,100
Civicon DRC Holdings Limited,Mauritius,100,100
