RANK,LOCAL INSTITUTIONAL INVESTORS,SHARES HELD,% HELD
1,NAIROBI NOMINEES LTD. A/C J.S. DONOVAN,"10,257,860",2.73
2,FRANK NEWTON REAL ESTATE LIMITED,"6,760,800",1.80
3,JAMSOLS ENTERPRISES LIMITED,"2,631,579",0.70
4,CHASE BANK (KENYA) LIMITED,"2,149,700",0.57
5,GENGHIS NOMINEES LIMITED A/C 022,"401,400",0.11
6,HEPATICA LIMITED,"400,000",0.11
7,NJOROGE ENGINEERING WORKS LIMITED,"383,000",0.10
8,ZED HOLDINGS LTD,"381,744",0.10
9,KARNE LIMITED,"291,600",0.08
10,SOFT CONSULT LIMITED,"262,300",0.07
,SUBTOTAL,"23,919,983",6.38
,OTHERS,"2,531,512",0.67
,TOTAL,"26,451,495",7.05
,TOTAL ISSUED SHARES,"375,202,766",100.00
,NUMBER OF SHAREHOLDERS,"2,393",
