DEMAT ANALYSIS,Column,Column,Column
,SHARES,%,HOLDERS
CDSC,"23,053,178",32.39%,"1,757"
CERTIFICATED,"48,127,822",67.61%,788
TOTALS,"71,181,000",100%,"2,545"
ANALYSIS BY VOLUME,,,
VOLUME,SHARES,%,HOLDERS
1 - 500,"177,478",0.25%,954
501 - 5000,"2,501,642",3.51%,"1,259"
5001 - 10000,"1,200,857",1.69%,164
10001 - 100000,"3,941,756",5.54%,146
100001 - 1000000,"5,153,424",7.24%,18
>1000000,"58,205,843",81.77%,4
TOTALS,"71,181,000",100.00%,"2,545"
ANALYSIS BY DOMICILE,,,
DOMICILE,SHARES,%,HOLDERS
FOREIGN COMPANIES,"20,123,000",28.27%,5
FOREIGN INDIVIDUALS,"373,755",0.53%,29
LOCAL COMPANIES,"40,382,442",56.73%,180
LOCAL INDIVIDUALS,"10,301,803",14.47%,"2,331"
TOTAL,"71,181,000",100.00%,"2,545"
